"Population estimates, July 1, by census subdivision, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0155-01"
"Release date: 2025-01-16"
"Geography: Canada, Province or territory, Census subdivision"
""
""

"Geography","2024"
,"Persons"
"Mary's Harbour (T), Newfoundland and Labrador","297"
"Southern Harbour (T), Newfoundland and Labrador","342"
"Division No.  7, Subd. G (SNO), Newfoundland and Labrador","314"
"Elliston (T), Newfoundland and Labrador","342"
"St. Mary's (T), Newfoundland and Labrador","341"
"Burlington (T), Newfoundland and Labrador","306"
"Anchor Point (T), Newfoundland and Labrador","288"
"Hawke's Bay (T), Newfoundland and Labrador","293"
"Ming's Bight (T), Newfoundland and Labrador","304"
"Division No.  8, Subd. P (SNO), Newfoundland and Labrador","313"
"Leading Tickles (T), Newfoundland and Labrador","296"
"Charlottetown (Labrador) (T), Newfoundland and Labrador","285"
"Division No.  5, Subd. A (SNO), Newfoundland and Labrador","304"
"Pilley's Island (T), Newfoundland and Labrador","261"
"Division No.  5, Subd. C (SNO), Newfoundland and Labrador","298"
"Seal Cove (White Bay) (T), Newfoundland and Labrador","257"
"Renews-Cappahayden (T), Newfoundland and Labrador","274"
"Jackson's Arm (T), Newfoundland and Labrador","260"
"Traytown (T), Newfoundland and Labrador","271"
"Division No.  8, Subd. O (SNO), Newfoundland and Labrador","271"
"Flower's Cove (T), Newfoundland and Labrador","283"
"St. Bride's (T), Newfoundland and Labrador","298"
"Division No.  1, Subd. R (SNO), Newfoundland and Labrador","287"
"Fermeuse (T), Newfoundland and Labrador","273"
"St. Vincent's-St. Stephen's-Peter's River (T), Newfoundland and Labrador","286"
"Division No.  7, Subd. D (SNO), Newfoundland and Labrador","268"
"Greenspond (T), Newfoundland and Labrador","266"
"Fox Cove-Mortier (T), Newfoundland and Labrador","249"
"Point May (T), Newfoundland and Labrador","240"
"Division No.  2, Subd. E (SNO), Newfoundland and Labrador","215"
"Bishop's Cove (T), Newfoundland and Labrador","244"
"Baytona (T), Newfoundland and Labrador","259"
"Main Brook (T), Newfoundland and Labrador","243"
"Cottlesville (T), Newfoundland and Labrador","245"
"Woody Point, Bonne Bay (T), Newfoundland and Labrador","240"
"Glenburnie-Birchy Head-Shoal Brook (T), Newfoundland and Labrador","237"
"Little Burnt Bay (T), Newfoundland and Labrador","239"
"Hughes Brook (T), Newfoundland and Labrador","248"
"Bay L'Argent (T), Newfoundland and Labrador","229"
"Long Harbour-Mount Arlington Heights (T), Newfoundland and Labrador","255"
"Parkers Cove (T), Newfoundland and Labrador","228"
"Rushoon (T), Newfoundland and Labrador","224"
"Fox Harbour (T), Newfoundland and Labrador","247"
"Branch (T), Newfoundland and Labrador","243"
"Daniel's Harbour (T), Newfoundland and Labrador","216"
"L'Anse-au-Clair (T), Newfoundland and Labrador","226"
